state,idx
"(0, 0, 0, 1)",0
"(0, 0, 0, 0)",1
"(0, 0, 0, 2)",2
"(0, 1, 0, 0)",3
"(0, 1, 0, 2)",4
"(1, 1, 0, 0)",5
"(1, 1, 0, 1)",6
"(0, 1, 0, 1)",7
"(1, 1, 0, 2)",8
"(-1, 0, 0, 1)",9
"(-1, 0, 0, 0)",10
"(0, -1, 0, 1)",11
"(-1, -1, 0, 0)",12
"(0, -1, 0, 2)",13
"(-1, -1, 0, 1)",14
"(0, -1, 0, 0)",15
"(-1, -1, 0, 2)",16
"(1, 0, 0, 2)",17
"(1, 0, 0, 0)",18
"(1, 0, 0, 1)",19
"(-1, 0, 0, 2)",20
"(1, -1, 0, 2)",21
"(-1, 1, 0, 0)",22
"(1, -1, 0, 0)",23
"(1, -1, 0, 1)",24
"(-1, 1, 0, 1)",25
"(-1, 1, 0, 2)",26
